run_id,as_of_run_ts,as_of_run_date,publish_tag,period_month,item_key_sk_1,item_key_sk_2,orders_together,support,confidence_1_to_2,confidence_2_to_1,lift,item_name_preferred_1,item_name_preferred_2,item_category_1,item_category_2
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,1adb2a18673efe5159c525c4bfb4ab9f,73564c12b0bb512fd69348d87c81a352,9,0.013493253373313344,0.08181818181818182,0.6,3.6381818181818177,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Chio Dip Hot Cheese, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping"
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,1adb2a18673efe5159c525c4bfb4ab9f,f1fb9bf890e7a8f8dd88a276a1ef6f76,15,0.022488755622188907,0.13636363636363635,0.7142857142857143,4.3311688311688314,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping"
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,4accb1b8337e39ab3440ee0ecdb7b895,a3806fd23a15f2b63d29611829f45705,5,0.0074962518740629685,0.5,0.014619883040935672,0.9751461988304094,"Ferrero Kinder Riegel Chocolate Bar, (18x21 g), 378 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,9c0ec40485b5dbaa470c56af1414766f,a3806fd23a15f2b63d29611829f45705,5,0.0074962518740629685,0.45454545454545453,0.014619883040935672,0.8864965443912812,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,a3806fd23a15f2b63d29611829f45705,bdd8cad9c8bc2a06af9075c7db51fb58,6,0.008995502248875561,0.017543859649122806,0.6,1.170175438596491,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Tony’s Chocolonely Milk Chocolate, 32%, 180 g",Other Confectionary,Chocolate
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2022-12-01,a3806fd23a15f2b63d29611829f45705,be05d49218959bd5715a259f53a01050,5,0.0074962518740629685,0.014619883040935672,0.4166666666666667,0.8126218323586745,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Yogurette Strawberry Yogurt Chocolate, 100 g",Other Confectionary,Chocolate
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,1adb2a18673efe5159c525c4bfb4ab9f,43,0.008063003937746109,0.5512820512820513,0.024184476940382452,1.6535360964494825,"Fuego guacamole dip, 200 ml","Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Cheese Crackers, Breadsticks & Dipping",Crisp & Snacks
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,1fd45847dbb01b01fd314a6839c7e058,5,9.375585974123383E-4,0.0641025641025641,0.056818181818181816,3.884761072261072,"Fuego guacamole dip, 200 ml","Takis Fuego, 100 g","Cheese Crackers, Breadsticks & Dipping",Crisp & Snacks
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,327e2ea4fcb825bcaefcd1d4bdb85232,7,0.0013125820363772737,0.08974358974358974,0.059322033898305086,4.055953933072577,"Fuego guacamole dip, 200 ml","Pringles Sour Cream & Onion Chips, 165 g","Cheese Crackers, Breadsticks & Dipping",Crisp & Snacks
4d0d4f98-15f5-4cf1-96f2-8c0b4e326412,2026-03-08 23:49:56,2026-03-08,scheduled,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,50ab7614f0d675a1ce5e3585aaddf68e,5,9.375585974123383E-4,0.0641025641025641,0.03968253968253968,2.713166463166463,"Fuego guacamole dip, 200 ml","Lay's Crips herb butter flavour, 150 g","Cheese Crackers, Breadsticks & Dipping",Crisp & Snacks
